OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,sum.groupmeans,FDR.q.value,Taxonomy
Otu083,0.000547,0,0.000225,0.00161,1.30E-05,0.001386,0.568658,1.999997,1,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Porphyromonadaceae(100);Odoribacter(100);
Otu084,0.000741,1.00E-06,0.000386,0.000902,1.00E-06,0.000299,0.796836,1.999997,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Peptococcaceae_1(100);Peptococcus(100);
Otu085,0.000386,0,0.000175,0.000258,0,0.000143,0.668301,1.999997,1,Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Burkholderiales(100);Sutterellaceae(100);Sutterella(100);
Otu086,9.70E-05,0,6.70E-05,3.20E-05,0,3.20E-05,0.624988,1.999997,1,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Bifidobacteriales(100);Bifidobacteriaceae(100);Bifidobacteriaceae_unclassified(100);
Otu087,0.005409,0.000196,0.005297,0.000386,1.00E-06,0.00035,0.428616,1.999997,1,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Coriobacteriales(100);Coriobacteriaceae(100);Senegalimassilia(100);
Otu088,0,0,0,3.20E-05,0,3.20E-05,1,1.999997,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Howardella(100);
Otu089,9.70E-05,0,6.70E-05,0.000193,0,0.000125,0.507781,1.999997,1,Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Betaproteobacteria_unclassified(100);Betaproteobacteria_unclassified(100);Betaproteobacteria_unclassified(100);
Otu093,6.40E-05,0,4.20E-05,3.20E-05,0,3.20E-05,1,1.999997,1,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Leuconostocaceae(100);Weissella(100);
Otu098,0,0,0,0.000515,2.00E-06,0.000515,0.372301,1.999997,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Flavonifractor(100);
Otu101,0.000515,1.00E-06,0.000445,0.00058,1.00E-06,0.000423,0.931068,1.999997,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Anaerostipes(100);
Otu102,9.70E-05,0,4.60E-05,0.000322,0,0.000183,0.246753,1.999997,1,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Coriobacteriales(100);Coriobacteriaceae(100);Slackia(100);
Otu103,3.20E-05,0,3.20E-05,3.20E-05,0,3.20E-05,1,1.999997,1,Bacteria(100);Firmicutes(100);Bacilli(100);Bacillales(100);Bacillales_unclassified(100);Bacillales_unclassified(100);
Otu105,3.20E-05,0,3.20E-05,9.70E-05,0,9.70E-05,0.624988,1.999997,1,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pseudomonadales(100);Moraxellaceae(100);Acinetobacter(100);
Otu106,0,0,0,6.40E-05,0,6.40E-05,0.499992,1.999997,1,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinobacteria_unclassified(100);Actinobacteria_unclassified(100);Actinobacteria_unclassified(100);
Otu109,9.70E-05,0,9.70E-05,6.40E-05,0,4.20E-05,1,1.999997,1,Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Neisseriales(100);Neisseriaceae(100);Neisseria(100);
Otu110,0,0,0,6.40E-05,0,6.40E-05,0.499992,1.999997,1,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Paraprevotella(100);
Otu114,3.20E-05,0,3.20E-05,6.40E-05,0,4.20E-05,1,1.999997,1,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pseudomonadales(100);Pseudomonadaceae(100);Pseudomonas(100);
Otu116,0,0,0,6.40E-05,0,6.40E-05,0.499992,1.999997,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Pseudoflavonifractor(100);
Otu120,0,0,0,3.20E-05,0,3.20E-05,1,1.999997,1,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Micrococcaceae(100);Rothia(100);
Otu123,0.000676,1.00E-06,0.000411,0.001062,3.00E-06,0.00067,0.712301,1.999997,1,Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Burkholderiales(100);Oxalobacteraceae(100);Oxalobacteraceae_unclassified(100);
Otu125,0,0,0,3.20E-05,0,3.20E-05,1,1.999997,1,Bacteria(100);Fibrobacteres(100);Fibrobacteria(100);Fibrobacterales(100);Fibrobacteraceae(100);Fibrobacter(100);
Otu129,3.20E-05,0,3.20E-05,0,0,0,1,1.999997,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Sporobacter(100);
Otu130,0.000322,0,0.000162,0.000225,0,9.80E-05,0.698808,1.999997,1,Bacteria(100);Firmicutes(100);Erysipelotrichia(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Bulleidia(100);
Otu131,0,0,0,3.20E-05,0,3.20E-05,1,1.999997,1,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Coriobacteriales(100);Coriobacteriaceae(100);Paraeggerthella(100);
