OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,sum.groupmeans,FDR.q.value,Taxonomy
Otu129,0,0,0,6.40E-05,0,6.40E-05,0.217774,1.999997,0.950946467,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Sporobacter(100);
Otu003,0.099955,0.018042,0.047489,0.044174,0.000571,0.009032,0.254484,1.999997,0.980511882,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Veillonellaceae_unclassified(100);
Otu068,8.50E-05,0,5.90E-05,0,0,0,0.253322,1.999997,0.980511882,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Clostridium_XlVb(100);
Otu180,8.50E-05,0,8.50E-05,0,0,0,0.253322,1.999997,0.980511882,Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Burkholderiales(100);Oxalobacteraceae(100);Massilia(100);
Otu243,8.50E-05,0,8.50E-05,0,0,0,0.253322,1.999997,0.980511882,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacteriales(100);Enterobacteriaceae(100);Proteus(100);
Otu006,0.032539,0.000253,0.005624,0.041308,0.000342,0.006988,0.45478,1.999997,0.993619358,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_unclassified(100);Clostridiales_unclassified(100);
Otu015,0.028172,0.00632,0.028108,0.000193,0,0.000103,0.431571,1.999997,0.993619358,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Porphyromonadaceae(100);Parabacteroides(100);
Otu018,0.007663,4.30E-05,0.00232,0.005119,1.60E-05,0.001502,0.494901,1.999997,0.993619358,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Acidaminococcaceae(100);Phascolarctobacterium(100);
Otu021,0.022481,0.00033,0.006423,0.014295,9.30E-05,0.003639,0.280604,1.999997,0.993619358,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Coriobacteriales(100);Coriobacteriaceae(100);Olsenella(100);
Otu024,0.007494,0.000352,0.006633,0.001288,1.00E-06,0.000333,0.489923,1.999997,0.993619358,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Selenomonas(100);
Otu025,0.005944,1.60E-05,0.001404,0.01642,0.000693,0.009949,0.318099,1.999997,0.993619358,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Porphyromonadaceae(100);Porphyromonadaceae_unclassified(100);
Otu042,0.007916,0.000493,0.007852,0,0,0,0.346791,1.999997,0.993619358,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Coriobacteriales(100);Coriobacteriaceae(100);Coriobacteriaceae_unclassified(100);
