OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,sum.groupmeans,FDR.q.value,Taxonomy
Otu017,0.000541,1.00E-06,0.000339,0.001953,5.00E-06,0.000872,0.13003,2.000005,0.824307595,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidales_unclassified(100);Bacteroidales_unclassified(100);
Otu020,0.009015,5.10E-05,0.003179,0.016565,0.000336,0.007485,0.466239,2.000005,0.824307595,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Mitsuokella(100);
Otu021,0.002705,4.00E-06,0.000935,0.005597,2.10E-05,0.001872,0.177015,2.000005,0.824307595,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Coriobacteriales(100);Coriobacteriaceae(100);Olsenella(100);
Otu022,0.002524,1.00E-06,0.000475,0.035309,0.002282,0.019502,0.078418,2.000005,0.824307595,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Streptococcaceae(100);Streptococcus(100);
Otu023,0.008069,7.10E-05,0.003759,0.003982,3.80E-05,0.002518,0.49106,2.000005,0.824307595,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Dialister(100);
Otu027,0.000451,0,0.000311,0.00015,0,4.80E-05,0.447433,2.000005,0.824307595,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillales_unclassified(100);Lactobacillales_unclassified(100);
Otu028,0.001217,2.00E-06,0.000611,0.011119,0.00016,0.005162,0.039776,2.000005,0.824307595,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiaceae_1(100);Clostridium_sensu_stricto(100);
Otu029,9.00E-05,0,5.50E-05,0.000263,0,0.000147,0.327507,2.000005,0.824307595,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Butyricicoccus(100);
Otu035,0.013072,0.000271,0.007356,0.048268,0.001216,0.014238,0.019015,2.000005,0.824307595,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Veillonella(100);
Otu036,0.000225,0,0.000175,3.80E-05,0,3.80E-05,0.358433,2.000005,0.824307595,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillaceae(100);Lactobacillaceae_unclassified(100);
Otu040,0.000766,1.00E-06,0.000431,0.000263,0,0.000179,0.339299,2.000005,0.824307595,Bacteria(100);Synergistetes(100);Synergistia(100);Synergistales(100);Synergistaceae(100);Cloacibacillus(100);
Otu041,0,0,0,7.50E-05,0,7.50E-05,0.504122,2.000005,0.824307595,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacteriales(100);Enterobacteriaceae(100);Escherichia/Shigella(100);
Otu043,0.000721,2.00E-06,0.000611,0.00015,0,0.000111,0.478463,2.000005,0.824307595,Bacteria(100);Fusobacteria(100);Fusobacteriia(100);Fusobacteriales(100);Fusobacteriaceae(100);Fusobacterium(100);
Otu046,0,0,0,0.000263,0,0.000147,0.058687,2.000005,0.824307595,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Oscillibacter(100);
Otu050,0,0,0,7.50E-05,0,4.80E-05,0.504122,2.000005,0.824307595,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridia_unclassified(100);Clostridia_unclassified(100);Clostridia_unclassified(100);
Otu051,0.000406,0,0.000166,0.007212,0.000253,0.006499,0.367433,2.000005,0.824307595,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Coprococcus(100);
Otu055,0.000541,0,0.000169,0.004132,1.90E-05,0.00179,0.03209,2.000005,0.824307595,Bacteria(100);Synergistetes(100);Synergistia(100);Synergistales(100);Synergistaceae(100);Pyramidobacter(100);
Otu057,4.50E-05,0,4.50E-05,0.000451,1.00E-06,0.000308,0.206866,2.000005,0.824307595,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Clostridium_IV(100);
Otu058,0,0,0,0.001465,4.00E-06,0.000829,0.061716,2.000005,0.824307595,Bacteria(100);Deferribacteres(100);Deferribacteres(100);Deferribacterales(100);Deferribacteraceae(100);Mucispirillum(100);
Otu061,0.0151,0.000267,0.007304,0.006987,2.30E-05,0.001977,0.341896,2.000005,0.824307595,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Bifidobacteriales(100);Bifidobacteriaceae(100);Pseudoscardovia(100);
Otu062,4.50E-05,0,4.50E-05,0,0,0,0.454545,2.000005,0.824307595,Bacteria(100);Proteobacteria(100);Proteobacteria_unclassified(100);Proteobacteria_unclassified(100);Proteobacteria_unclassified(100);Proteobacteria_unclassified(100);
Otu067,0.000721,1.00E-06,0.000359,0.000225,0,0.000143,0.221388,2.000005,0.824307595,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Anaerotruncus(100);
Otu072,0.00027,0,0.000219,0,0,0,0.242896,2.000005,0.824307595,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Peptostreptococcaceae(100);Romboutsia(100);
