OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,sum.groupmeans,FDR.q.value,Taxonomy
Otu057,8.50E-05,0,5.90E-05,3.80E-05,0,3.80E-05,0.640139,2.000011,0.943362737,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Clostridium_IV(100);
Otu052,5.60E-05,0,5.60E-05,0.000113,0,0.000113,0.657272,2.000011,0.956032,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Peptostreptococcaceae(100);Terrisporobacter(100);
Otu045,0.000338,1.00E-06,0.000279,0.000188,0,0.000108,0.692151,2.000011,0.993857846,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Aeromonadales(100);Succinivibrionaceae(100);Anaerobiospirillum(100);
Otu012,0.002113,1.40E-05,0.001339,0.00169,4.00E-06,0.000799,0.83026,2.000011,1,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pasteurellales(100);Pasteurellaceae(100);Pasteurellaceae_unclassified(100);
Otu013,0.006226,0.00012,0.003879,0.004508,3.60E-05,0.002435,0.771863,2.000011,1,Bacteria(100);Bacteroidetes(100);Bacteroidetes_unclassified(100);Bacteroidetes_unclassified(100);Bacteroidetes_unclassified(100);Bacteroidetes_unclassified(100);
Otu023,0.019016,0.00033,0.006419,0.018594,5.60E-05,0.003059,0.959767,2.000011,1,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Dialister(100);
Otu029,0.009691,5.10E-05,0.002521,0.008865,3.80E-05,0.002501,0.850685,2.000011,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Butyricicoccus(100);
Otu030,0.000338,0,0.000221,0.000376,0,0.000223,0.922849,2.000011,1,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100);
Otu033,0.009522,0.00011,0.003712,0.011607,6.00E-05,0.003168,0.741534,2.000011,1,Bacteria(100);Firmicutes(100);Erysipelotrichia(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Holdemanella(100);
Otu038,0.026003,0.003049,0.019523,0.024416,0.000541,0.009494,0.950671,2.000011,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Dorea(100);
Otu042,8.50E-05,0,5.90E-05,0.000113,0,7.70E-05,1,2.000011,1,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Coriobacteriales(100);Coriobacteriaceae(100);Coriobacteriaceae_unclassified(100);
Otu046,0.000113,0,6.00E-05,0.00015,0,7.50E-05,0.731409,2.000011,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Oscillibacter(100);
Otu047,0.005634,2.40E-05,0.001727,0.004883,8.00E-06,0.001144,0.777123,2.000011,1,Bacteria(100);Spirochaetes(100);Spirochaetia(100);Spirochaetales(100);Spirochaetaceae(100);Treponema(100);
Otu048,0.001324,7.00E-06,0.000905,0.001315,7.00E-06,0.001105,0.988027,2.000011,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Ruminococcus2(100);
Otu049,0.001409,3.00E-06,0.000599,0.001653,3.00E-06,7.00E-04,0.832973,2.000011,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Eubacteriaceae(100);Eubacterium(100);
Otu050,2.80E-05,0,2.80E-05,0,0,0,1,2.000011,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridia_unclassified(100);Clostridia_unclassified(100);Clostridia_unclassified(100);
Otu053,0.001803,2.00E-06,0.000511,0.00154,1.00E-06,0.000405,0.757425,2.000011,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Clostridium_XlVa(100);
Otu056,5.60E-05,0,3.70E-05,3.80E-05,0,3.80E-05,1,2.000011,1,Bacteria(100);Firmicutes(100);Erysipelotrichia(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Erysipelotrichaceae_unclassified(100);
Otu060,5.60E-05,0,3.70E-05,3.80E-05,0,3.80E-05,1,2.000011,1,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Rikenellaceae(100);Alistipes(100);
Otu062,2.80E-05,0,2.80E-05,0,0,0,1,2.000011,1,Bacteria(100);Proteobacteria(100);Proteobacteria_unclassified(100);Proteobacteria_unclassified(100);Proteobacteria_unclassified(100);Proteobacteria_unclassified(100);
Otu064,0.002958,2.00E-06,0.000531,0.002592,5.00E-06,0.000932,0.790904,2.000011,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Intestinimonas(100);
Otu073,0.000197,0,6.60E-05,0.000225,0,0.000184,0.90774,2.000011,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Peptostreptococcaceae(100);Peptostreptococcaceae_unclassified(100);
Otu080,5.60E-05,0,3.70E-05,3.80E-05,0,3.80E-05,1,2.000011,1,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Acidaminococcaceae(100);Acidaminococcaceae_unclassified(100);
Otu088,5.60E-05,0,3.70E-05,3.80E-05,0,3.80E-05,1,2.000011,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Howardella(100);
Otu089,8.50E-05,0,4.10E-05,0.000113,0,7.70E-05,1,2.000011,1,Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Betaproteobacteria_unclassified(100);Betaproteobacteria_unclassified(100);Betaproteobacteria_unclassified(100);
Otu090,8.50E-05,0,4.10E-05,7.50E-05,0,4.80E-05,1,2.000011,1,Bacteria(100);Firmicutes(100);Erysipelotrichia(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Catenibacterium(100);
Otu101,0.000141,0,0.000141,0.00015,0,7.50E-05,1,2.000011,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Anaerostipes(100);
Otu102,0.000169,0,8.20E-05,0.000225,0,0.000116,0.762151,2.000011,1,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Coriobacteriales(100);Coriobacteriaceae(100);Slackia(100);
Otu108,2.80E-05,0,2.80E-05,0,0,0,1,2.000011,1,Bacteria(100);Firmicutes(100);Erysipelotrichia(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Faecalicoccus(100);
Otu116,2.80E-05,0,2.80E-05,3.80E-05,0,3.80E-05,1,2.000011,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Pseudoflavonifractor(100);
Otu121,0.000169,0,8.20E-05,0.000263,0,0.000179,0.70989,2.000011,1,Bacteria(100);Deinococcus-Thermus(100);Deinococci(100);Deinococcales(100);Deinococcaceae(100);Deinococcus(100);
Otu123,0.002451,2.90E-05,0.001904,0.001615,1.10E-05,0.001352,0.781384,2.000011,1,Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Burkholderiales(100);Oxalobacteraceae(100);Oxalobacteraceae_unclassified(100);
Otu152,2.80E-05,0,2.80E-05,0,0,0,1,2.000011,1,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Coriobacteriales(100);Coriobacteriaceae(100);Eggerthella(100);
Otu171,2.80E-05,0,2.80E-05,0,0,0,1,2.000011,1,Bacteria(100);Bacteroidetes(100);Cytophagia(100);Cytophagales(100);Cytophagaceae(100);Cytophagaceae_unclassified(100);
Otu173,2.80E-05,0,2.80E-05,0,0,0,1,2.000011,1,Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhodobacterales(100);Rhodobacteraceae(100);Rhodobacter(100);
Otu194,2.80E-05,0,2.80E-05,0,0,0,1,2.000011,1,Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Burkholderiales(100);Burkholderiaceae(100);Ralstonia(100);
Otu222,2.80E-05,0,2.80E-05,0,0,0,1,2.000011,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Butyrivibrio(100);
