OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,sum.groupmeans,FDR.q.value,Taxonomy
Otu167,5.60E-05,0,5.60E-05,0,0,0,0.502215,1.999998,0.851858354,Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Burkholderiales(100);Comamonadaceae(100);Variovorax(100);
Otu173,5.60E-05,0,5.60E-05,0,0,0,0.502215,1.999998,0.851858354,Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhodobacterales(100);Rhodobacteraceae(100);Rhodobacter(100);
Otu190,5.60E-05,0,5.60E-05,0,0,0,0.502215,1.999998,0.851858354,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Hungatella(100);
Otu191,0,0,0,3.20E-05,0,3.20E-05,0.466667,1.999998,0.851858354,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Pseudonocardiaceae(100);Pseudonocardia(100);
Otu235,0,0,0,3.20E-05,0,3.20E-05,0.466667,1.999998,0.851858354,Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhizobiales(100);Rhizobiales_unclassified(100);Rhizobiales_unclassified(100);
Otu052,0.007353,0.000433,0.007353,0.000419,1.00E-06,0.000419,0.510874,1.999998,0.85571395,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Peptostreptococcaceae(100);Terrisporobacter(100);
Otu010,0.010339,5.70E-05,0.00267,0.013845,6.30E-05,0.00299,0.557184,1.999998,0.902050867,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Faecalibacterium(100);
Otu044,0.000197,0,0.000108,0.000129,0,8.30E-05,0.558733,1.999998,0.902050867,Bacteria(100);Proteobacteria(100);Epsilonproteobacteria(100);Campylobacterales(100);Helicobacteraceae(100);Helicobacter(100);
Otu078,0.000507,0,0.000216,0.001191,4.00E-06,0.000752,0.557103,1.999998,0.902050867,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Allisonella(100);
Otu009,0.002817,5.00E-06,0.000791,0.004153,1.50E-05,0.001462,0.597667,1.999998,0.902938674,Bacteria(100);Firmicutes(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);
Otu011,0.018425,0.000119,0.00386,0.013909,0.000119,0.004119,0.599713,1.999998,0.902938674,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Blautia(100);
Otu021,0.022481,0.00033,0.006423,0.015583,0.000226,0.005678,0.597287,1.999998,0.902938674,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Coriobacteriales(100);Coriobacteriaceae(100);Olsenella(100);
Otu024,0.007494,0.000352,0.006633,0.001932,5.00E-06,0.000812,0.580966,1.999998,0.902938674,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Selenomonas(100);
Otu028,0.00062,1.00E-06,0.000285,0.002189,2.30E-05,0.001822,0.570241,1.999998,0.902938674,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiaceae_1(100);Clostridium_sensu_stricto(100);
Otu123,0.000732,2.00E-06,0.000543,0.0019,1.20E-05,0.00133,0.59369,1.999998,0.902938674,Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Burkholderiales(100);Oxalobacteraceae(100);Oxalobacteraceae_unclassified(100);
Otu062,8.50E-05,0,8.50E-05,3.20E-05,0,3.20E-05,0.628315,1.999998,0.925211099,Bacteria(100);Proteobacteria(100);Proteobacteria_unclassified(100);Proteobacteria_unclassified(100);Proteobacteria_unclassified(100);Proteobacteria_unclassified(100);
Otu068,8.50E-05,0,5.90E-05,3.20E-05,0,3.20E-05,0.628315,1.999998,0.925211099,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Clostridium_XlVb(100);
Otu004,0.038032,0.000227,0.005332,0.046782,0.001009,0.012003,0.667253,1.999998,0.94866975,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Ruminococcaceae_unclassified(100);
Otu013,0.005353,3.00E-05,0.00193,0.003574,2.70E-05,0.001947,0.677575,1.999998,0.94866975,Bacteria(100);Bacteroidetes(100);Bacteroidetes_unclassified(100);Bacteroidetes_unclassified(100);Bacteroidetes_unclassified(100);Bacteroidetes_unclassified(100);
Otu026,0.005606,4.30E-05,0.002317,0.014231,0.001176,0.012963,0.673747,1.999998,0.94866975,Bacteria(100);Proteobacteria(100);Epsilonproteobacteria(100);Campylobacterales(100);Campylobacteraceae(100);Campylobacter(100);
Otu056,0.000282,0,0.000126,0.000515,1.00E-06,0.00034,0.679644,1.999998,0.94866975,Bacteria(100);Firmicutes(100);Erysipelotrichia(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Erysipelotrichaceae_unclassified(100);
Otu064,0.005606,3.40E-05,0.002071,0.004121,2.00E-06,0.000543,0.655046,1.999998,0.94866975,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Intestinimonas(100);
Otu121,0.000648,2.00E-06,0.00049,0.000322,0,0.000255,0.703908,1.999998,0.97240899,Bacteria(100);Deinococcus-Thermus(100);Deinococci(100);Deinococcales(100);Deinococcaceae(100);Deinococcus(100);
Otu007,0.053781,0.003224,0.020075,0.041502,0.001025,0.012101,0.735483,1.999998,0.978060693,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Megasphaera(100);
Otu008,0.008395,7.30E-05,0.003031,0.006472,3.20E-05,0.002136,0.737195,1.999998,0.978060693,Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
Otu018,0.007663,4.30E-05,0.00232,0.010239,0.000125,0.004233,0.731828,1.999998,0.978060693,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Acidaminococcaceae(100);Phascolarctobacterium(100);
